,Datetime1,DAYTON_MW,Datetime
53,06,22.6,2022-01-06 05:00:00
54,07,14.9,2022-01-06 06:00:00
55,08,14.133,2022-01-06 07:00:00
56,09,22.7,2022-01-06 08:00:00
57,10,23.533,2022-01-06 09:00:00
58,11,23.75,2022-01-06 10:00:00
59,12,24.2,2022-01-06 11:00:00
60,13,24.867,2022-01-06 12:00:00
61,14,25.5,2022-01-06 13:00:00
62,15,26.0,2022-01-06 14:00:00
63,16,26.267,2022-01-06 15:00:00
64,17,9.633,2022-01-06 16:00:00
65,18,9.267,2022-01-06 17:00:00
66,19,8.85,2022-01-06 18:00:00
67,20,15.6,2022-01-06 19:00:00
68,21,12.267,2022-01-06 20:00:00
69,22,9.067,2022-01-06 21:00:00
70,23,12.467,2022-01-06 22:00:00
71,00,21.35,2022-01-06 23:00:00
72,01,23.967,2022-01-07 00:00:00
73,02,24.4,2022-01-07 01:00:00
74,03,23.9,2022-01-07 02:00:00
75,04,23.3,2022-01-07 03:00:00
76,05,22.8,2022-01-07 04:00:00
77,06,20.8,2022-01-07 05:00:00
78,07,14.967,2022-01-07 06:00:00
79,08,11.7,2022-01-07 07:00:00
80,09,15.6,2022-01-07 08:00:00
81,10,8.4,2022-01-07 09:00:00
82,11,9.067,2022-01-07 10:00:00
83,12,9.967,2022-01-07 11:00:00
84,13,9.8,2022-01-07 12:00:00
85,14,9.833,2022-01-07 13:00:00
86,15,12.433,2022-01-07 14:00:00
87,16,9.767,2022-01-07 15:00:00
88,17,9.567,2022-01-07 16:00:00
89,18,9.1,2022-01-07 17:00:00
90,19,11.7,2022-01-07 18:00:00
91,20,25.333,2022-01-07 19:00:00
92,21,8.167,2022-01-07 20:00:00
93,22,16.167,2022-01-07 21:00:00
94,23,16.133,2022-01-07 22:00:00
95,00,26.2,2022-01-07 23:00:00
96,01,26.75,2022-01-08 00:00:00
97,02,25.867,2022-01-08 01:00:00
98,03,24.767,2022-01-08 02:00:00
99,04,23.95,2022-01-08 03:00:00
100,05,23.333,2022-01-08 04:00:00
101,06,22.7,2022-01-08 05:00:00
102,07,11.8,2022-01-08 06:00:00
103,08,15.4,2022-01-08 07:00:00
104,09,7.45,2022-01-08 08:00:00
105,10,12.167,2022-01-08 09:00:00
106,11,9.2,2022-01-08 10:00:00
107,12,9.8,2022-01-08 11:00:00
108,13,10.067,2022-01-08 12:00:00
109,14,10.1,2022-01-08 13:00:00
110,15,10.35,2022-01-08 14:00:00
111,16,14.567,2022-01-08 15:00:00
112,17,9.1,2022-01-08 16:00:00
113,18,8.133,2022-01-08 17:00:00
114,19,20.55,2022-01-08 18:00:00
115,20,19.167,2022-01-08 19:00:00
116,21,18.1,2022-01-08 20:00:00
117,22,11.0,2022-01-08 21:00:00
118,23,13.233,2022-01-08 22:00:00
119,00,21.167,2022-01-08 23:00:00
120,01,23.5,2022-01-09 00:00:00
121,02,23.7,2022-01-09 01:00:00
122,03,23.267,2022-01-09 02:00:00
123,04,22.8,2022-01-09 03:00:00
124,05,22.333,2022-01-09 04:00:00
125,06,22.0,2022-01-09 05:00:00
126,07,16.533,2022-01-09 06:00:00
127,08,14.333,2022-01-09 07:00:00
128,09,12.2,2022-01-09 08:00:00
129,10,8.767,2022-01-09 09:00:00
130,11,9.4,2022-01-09 10:00:00
131,12,9.633,2022-01-09 11:00:00
132,13,9.9,2022-01-09 12:00:00
133,14,9.5,2022-01-09 13:00:00
134,15,12.8,2022-01-09 14:00:00
135,16,9.833,2022-01-09 15:00:00
136,17,9.1,2022-01-09 16:00:00
137,18,13.067,2022-01-09 17:00:00
138,19,16.5,2022-01-09 18:00:00
139,20,25.033,2022-01-09 19:00:00
140,21,23.5,2022-01-09 20:00:00
141,22,8.325,2022-01-09 21:00:00
142,23,14.2,2022-01-09 22:00:00
143,00,25.7,2022-01-09 23:00:00
144,01,26.767,2022-01-10 00:00:00
145,02,25.367,2022-01-10 01:00:00
146,03,24.1,2022-01-10 02:00:00
147,04,23.2,2022-01-10 03:00:00
148,05,22.533,2022-01-10 04:00:00
149,06,21.933,2022-01-10 05:00:00
150,07,21.85,2022-01-10 06:00:00
151,08,22.9,2022-01-10 07:00:00
152,09,18.2,2022-01-10 08:00:00
153,10,12.75,2022-01-10 09:00:00
154,11,12.575,2022-01-10 10:00:00
155,12,17.8,2022-01-10 11:00:00
156,13,9.867,2022-01-10 12:00:00
157,14,10.333,2022-01-10 13:00:00
158,15,19.5,2022-01-10 14:00:00
159,16,13.0,2022-01-10 15:00:00
160,17,14.267,2022-01-10 16:00:00
161,18,17.633,2022-01-10 17:00:00
162,19,21.367,2022-01-10 18:00:00
163,20,22.85,2022-01-10 19:00:00
164,21,18.467,2022-01-10 20:00:00
165,22,14.067,2022-01-10 21:00:00
166,23,18.867,2022-01-10 22:00:00
167,00,23.867,2022-01-10 23:00:00
168,01,25.05,2022-01-11 00:00:00
169,02,24.5,2022-01-11 01:00:00
170,03,23.567,2022-01-11 02:00:00
171,04,22.8,2022-01-11 03:00:00
172,05,22.3,2022-01-11 04:00:00
173,06,21.867,2022-01-11 05:00:00
174,07,21.5,2022-01-11 06:00:00
175,08,21.3,2022-01-11 07:00:00
176,09,21.5,2022-01-11 08:00:00
177,10,21.967,2022-01-11 09:00:00
178,11,22.767,2022-01-11 10:00:00
179,12,23.35,2022-01-11 11:00:00
180,13,23.667,2022-01-11 12:00:00
181,14,23.833,2022-01-11 13:00:00
182,15,24.133,2022-01-11 14:00:00
183,16,24.3,2022-01-11 15:00:00
184,17,24.2,2022-01-11 16:00:00
185,18,23.9,2022-01-11 17:00:00
186,19,23.4,2022-01-11 18:00:00
187,20,22.95,2022-01-11 19:00:00
188,21,22.433,2022-01-11 20:00:00
189,22,22.033,2022-01-11 21:00:00
190,23,21.75,2022-01-11 22:00:00
191,00,21.433,2022-01-11 23:00:00
192,01,21.25,2022-01-12 00:00:00
193,02,21.075,2022-01-12 01:00:00
194,03,20.833,2022-01-12 02:00:00
195,04,20.7,2022-01-12 03:00:00
196,05,20.55,2022-01-12 04:00:00
197,06,20.267,2022-01-12 05:00:00
198,07,21.767,2022-01-12 06:00:00
199,08,24.767,2022-01-12 07:00:00
200,09,24.067,2022-01-12 08:00:00
201,10,23.4,2022-01-12 09:00:00
202,11,23.333,2022-01-12 10:00:00
203,12,23.7,2022-01-12 11:00:00
204,13,24.2,2022-01-12 12:00:00
205,14,24.8,2022-01-12 13:00:00
206,15,25.467,2022-01-12 14:00:00
207,16,25.7,2022-01-12 15:00:00
208,17,25.4,2022-01-12 16:00:00
209,18,24.35,2022-01-12 17:00:00
210,19,23.3,2022-01-12 18:00:00
211,20,22.3,2022-01-12 19:00:00
212,21,21.55,2022-01-12 20:00:00
213,22,20.933,2022-01-12 21:00:00
214,23,20.3,2022-01-12 22:00:00
215,00,19.933,2022-01-12 23:00:00
216,01,19.55,2022-01-13 00:00:00
217,02,19.167,2022-01-13 01:00:00
218,03,18.733,2022-01-13 02:00:00
219,04,18.233,2022-01-13 03:00:00
220,05,17.733,2022-01-13 04:00:00
221,06,17.35,2022-01-13 05:00:00
222,07,17.733,2022-01-13 06:00:00
223,08,21.633,2022-01-13 07:00:00
224,09,21.467,2022-01-13 08:00:00
225,10,20.867,2022-01-13 09:00:00
226,11,20.85,2022-01-13 10:00:00
227,12,21.233,2022-01-13 11:00:00
228,13,21.775,2022-01-13 12:00:00
229,14,22.667,2022-01-13 13:00:00
230,15,23.533,2022-01-13 14:00:00
231,16,24.0,2022-01-13 15:00:00
232,17,23.867,2022-01-13 16:00:00
233,18,23.35,2022-01-13 17:00:00
234,19,22.6,2022-01-13 18:00:00
235,20,21.9,2022-01-13 19:00:00
236,21,21.233,2022-01-13 20:00:00
237,22,21.533,2022-01-13 21:00:00
238,23,22.4,2022-01-13 22:00:00
239,00,26.05,2022-01-13 23:00:00
240,01,25.1,2022-01-14 00:00:00
241,02,23.3,2022-01-14 01:00:00
242,03,21.8,2022-01-14 02:00:00
243,04,20.733,2022-01-14 03:00:00
244,05,19.9,2022-01-14 04:00:00
245,06,19.3,2022-01-14 05:00:00
246,07,19.667,2022-01-14 06:00:00
247,08,20.667,2022-01-14 07:00:00
248,09,21.433,2022-01-14 08:00:00
249,10,22.533,2022-01-14 09:00:00
250,11,18.233,2022-01-14 10:00:00
251,12,17.9,2022-01-14 11:00:00
252,13,12.5,2022-01-14 12:00:00
253,14,9.65,2022-01-14 13:00:00
254,15,17.3,2022-01-14 14:00:00
255,16,25.75,2022-01-14 15:00:00
256,17,26.733,2022-01-14 16:00:00
257,18,25.467,2022-01-14 17:00:00
258,19,24.067,2022-01-14 18:00:00
259,20,23.067,2022-01-14 19:00:00
260,21,22.3,2022-01-14 20:00:00
261,22,21.533,2022-01-14 21:00:00
262,23,23.033,2022-01-14 22:00:00
263,00,26.15,2022-01-14 23:00:00
264,01,24.833,2022-01-15 00:00:00
265,02,23.3,2022-01-15 01:00:00
266,03,22.033,2022-01-15 02:00:00
267,04,20.833,2022-01-15 03:00:00
268,05,19.9,2022-01-15 04:00:00
269,06,19.2,2022-01-15 05:00:00
270,07,18.9,2022-01-15 06:00:00
271,08,20.55,2022-01-15 07:00:00
272,09,21.2,2022-01-15 08:00:00
273,10,21.767,2022-01-15 09:00:00
274,11,22.9,2022-01-15 10:00:00
275,12,13.933,2022-01-15 11:00:00
276,13,21.4,2022-01-15 12:00:00
277,14,14.133,2022-01-15 13:00:00
278,15,18.1,2022-01-15 14:00:00
279,16,18.433,2022-01-15 15:00:00
280,17,13.45,2022-01-15 16:00:00
281,18,23.4,2022-01-15 17:00:00
282,19,23.067,2022-01-15 18:00:00
283,20,23.867,2022-01-15 19:00:00
284,21,22.4,2022-01-15 20:00:00
285,22,22.167,2022-01-15 21:00:00
286,23,21.95,2022-01-15 22:00:00
287,00,26.3,2022-01-15 23:00:00
288,01,25.267,2022-01-16 00:00:00
289,02,23.433,2022-01-16 01:00:00
290,03,21.933,2022-01-16 02:00:00
291,04,20.8,2022-01-16 03:00:00
292,05,20.05,2022-01-16 04:00:00
293,06,19.533,2022-01-16 05:00:00
294,07,19.167,2022-01-16 06:00:00
295,08,20.3,2022-01-16 07:00:00
296,09,21.9,2022-01-16 08:00:00
297,10,22.5,2022-01-16 09:00:00
298,11,16.467,2022-01-16 10:00:00
299,12,23.4,2022-01-16 11:00:00
300,13,17.133,2022-01-16 12:00:00
301,14,11.933,2022-01-16 13:00:00
302,15,10.2,2022-01-16 14:00:00
303,16,12.6,2022-01-16 15:00:00
304,17,17.4,2022-01-16 16:00:00
305,18,16.033,2022-01-16 17:00:00
306,19,15.667,2022-01-16 18:00:00
307,20,23.15,2022-01-16 19:00:00
308,21,15.8,2022-01-16 20:00:00
309,22,15.8,2022-01-16 21:00:00
310,23,22.733,2022-01-16 22:00:00
311,00,26.167,2022-01-16 23:00:00
312,01,24.633,2022-01-17 00:00:00
313,02,23.35,2022-01-17 01:00:00
314,03,22.333,2022-01-17 02:00:00
315,04,21.5,2022-01-17 03:00:00
316,05,20.967,2022-01-17 04:00:00
317,06,20.5,2022-01-17 05:00:00
318,07,20.233,2022-01-17 06:00:00
319,08,23.5,2022-01-17 07:00:00
320,09,22.9,2022-01-17 08:00:00
321,10,22.1,2022-01-17 09:00:00
322,11,22.1,2022-01-17 10:00:00
323,12,22.633,2022-01-17 11:00:00
324,13,23.35,2022-01-17 12:00:00
325,14,24.033,2022-01-17 13:00:00
326,15,24.667,2022-01-17 14:00:00
327,16,24.9,2022-01-17 15:00:00
328,17,24.8,2022-01-17 16:00:00
329,18,24.367,2022-01-17 17:00:00
330,19,23.8,2022-01-17 18:00:00
331,20,23.2,2022-01-17 19:00:00
332,21,22.667,2022-01-17 20:00:00
333,22,22.25,2022-01-17 21:00:00
334,23,22.033,2022-01-17 22:00:00
335,00,21.867,2022-01-17 23:00:00
336,01,21.467,2022-01-18 00:00:00
337,02,21.15,2022-01-18 01:00:00
338,03,20.8,2022-01-18 02:00:00
339,04,20.367,2022-01-18 03:00:00
340,05,19.967,2022-01-18 04:00:00
341,06,19.65,2022-01-18 05:00:00
342,07,19.5,2022-01-18 06:00:00
343,08,19.267,2022-01-18 07:00:00
344,09,19.3,2022-01-18 08:00:00
345,10,19.8,2022-01-18 09:00:00
346,11,20.45,2022-01-18 10:00:00
347,12,21.3,2022-01-18 11:00:00
348,13,22.175,2022-01-18 12:00:00
349,14,23.0,2022-01-18 13:00:00
350,15,23.867,2022-01-18 14:00:00
351,16,24.367,2022-01-18 15:00:00
352,17,24.35,2022-01-18 16:00:00
353,18,24.0,2022-01-18 17:00:00
354,19,23.3,2022-01-18 18:00:00
355,20,22.55,2022-01-18 19:00:00
356,21,21.933,2022-01-18 20:00:00
357,22,21.3,2022-01-18 21:00:00
358,23,20.733,2022-01-18 22:00:00
359,00,20.2,2022-01-18 23:00:00
360,01,19.667,2022-01-19 00:00:00
361,02,19.35,2022-01-19 01:00:00
362,03,19.1,2022-01-19 02:00:00
363,04,18.8,2022-01-19 03:00:00
364,05,18.5,2022-01-19 04:00:00
365,06,18.4,2022-01-19 05:00:00
366,07,19.6,2022-01-19 06:00:00
367,08,22.667,2022-01-19 07:00:00
368,09,25.067,2022-01-19 08:00:00
369,10,23.467,2022-01-19 09:00:00
370,11,22.533,2022-01-19 10:00:00
371,12,22.5,2022-01-19 11:00:00
372,13,22.85,2022-01-19 12:00:00
373,14,23.333,2022-01-19 13:00:00
374,15,23.8,2022-01-19 14:00:00
375,16,23.9,2022-01-19 15:00:00
376,17,23.75,2022-01-19 16:00:00
377,18,23.3,2022-01-19 17:00:00
378,19,22.7,2022-01-19 18:00:00
379,20,22.167,2022-01-19 19:00:00
380,21,21.75,2022-01-19 20:00:00
381,22,21.333,2022-01-19 21:00:00
382,23,21.0,2022-01-19 22:00:00
383,00,20.9,2022-01-19 23:00:00
384,01,20.633,2022-01-20 00:00:00
385,02,20.3,2022-01-20 01:00:00
386,03,20.0,2022-01-20 02:00:00
387,04,19.75,2022-01-20 03:00:00
388,05,19.467,2022-01-20 04:00:00
389,06,19.233,2022-01-20 05:00:00
390,07,20.333,2022-01-20 06:00:00
391,08,18.6,2022-01-20 07:00:00
392,09,15.6,2022-01-20 08:00:00
393,10,15.3,2022-01-20 09:00:00
394,11,12.1,2022-01-20 10:00:00
395,12,9.6,2022-01-20 11:00:00
396,13,10.4,2022-01-20 12:00:00
397,14,10.233,2022-01-20 13:00:00
398,15,10.0,2022-01-20 14:00:00
399,16,10.033,2022-01-20 15:00:00
400,17,10.267,2022-01-20 16:00:00
401,18,9.933,2022-01-20 17:00:00
402,19,9.233,2022-01-20 18:00:00
403,20,13.633,2022-01-20 19:00:00
404,21,24.533,2022-01-20 20:00:00
405,22,23.667,2022-01-20 21:00:00
406,23,22.433,2022-01-20 22:00:00
407,00,21.9,2022-01-20 23:00:00
408,01,21.6,2022-01-21 00:00:00
409,02,21.233,2022-01-21 01:00:00
410,03,20.833,2022-01-21 02:00:00
411,04,20.45,2022-01-21 03:00:00
412,05,20.133,2022-01-21 04:00:00
413,06,19.733,2022-01-21 05:00:00
414,07,20.033,2022-01-21 06:00:00
415,08,16.633,2022-01-21 07:00:00
416,09,20.25,2022-01-21 08:00:00
417,10,10.85,2022-01-21 09:00:00
418,11,13.1,2022-01-21 10:00:00
419,12,9.267,2022-01-21 11:00:00
420,13,9.833,2022-01-21 12:00:00
421,14,10.0,2022-01-21 13:00:00
422,15,9.967,2022-01-21 14:00:00
423,16,9.8,2022-01-21 15:00:00
424,17,8.7,2022-01-21 16:00:00
425,18,12.133,2022-01-21 17:00:00
426,19,11.3,2022-01-21 18:00:00
427,20,11.4,2022-01-21 19:00:00
428,21,13.967,2022-01-21 20:00:00
429,22,12.933,2022-01-21 21:00:00
430,23,10.6,2022-01-21 22:00:00
431,00,24.033,2022-01-21 23:00:00
432,01,24.5,2022-01-22 00:00:00
433,02,23.55,2022-01-22 01:00:00
434,03,22.6,2022-01-22 02:00:00
435,04,21.667,2022-01-22 03:00:00
436,05,20.85,2022-01-22 04:00:00
437,06,20.25,2022-01-22 05:00:00
438,07,20.3,2022-01-22 06:00:00
439,08,16.15,2022-01-22 07:00:00
440,09,11.633,2022-01-22 08:00:00
441,10,11.2,2022-01-22 09:00:00
442,11,12.25,2022-01-22 10:00:00
443,12,8.667,2022-01-22 11:00:00
444,13,8.533,2022-01-22 12:00:00
445,14,10.933,2022-01-22 13:00:00
446,15,9.1,2022-01-22 14:00:00
447,16,10.0,2022-01-22 15:00:00
448,17,23.075,2022-01-22 16:00:00
449,18,25.033,2022-01-22 17:00:00
450,19,24.433,2022-01-22 18:00:00
451,20,23.933,2022-01-22 19:00:00
452,21,23.15,2022-01-22 20:00:00
453,22,22.6,2022-01-22 21:00:00
454,23,22.167,2022-01-22 22:00:00
455,00,22.033,2022-01-22 23:00:00
456,01,22.067,2022-01-23 00:00:00
457,02,21.967,2022-01-23 01:00:00
458,03,21.65,2022-01-23 02:00:00
459,04,21.333,2022-01-23 03:00:00
460,05,20.833,2022-01-23 04:00:00
461,06,20.5,2022-01-23 05:00:00
462,07,17.7,2022-01-23 06:00:00
463,08,16.45,2022-01-23 07:00:00
464,09,13.133,2022-01-23 08:00:00
465,10,11.633,2022-01-23 09:00:00
466,11,7.067,2022-01-23 10:00:00
467,12,7.4,2022-01-23 11:00:00
468,13,7.8,2022-01-23 12:00:00
469,14,8.167,2022-01-23 13:00:00
470,15,8.567,2022-01-23 14:00:00
471,16,8.2,2022-01-23 15:00:00
472,17,7.7,2022-01-23 16:00:00
473,18,11.767,2022-01-23 17:00:00
474,19,12.3,2022-01-23 18:00:00
475,20,12.3,2022-01-23 19:00:00
476,21,13.2,2022-01-23 20:00:00
477,22,13.167,2022-01-23 21:00:00
478,23,15.0,2022-01-23 22:00:00
479,00,24.6,2022-01-23 23:00:00
480,01,25.9,2022-01-24 00:00:00
481,02,24.6,2022-01-24 01:00:00
482,03,23.2,2022-01-24 02:00:00
483,04,22.1,2022-01-24 03:00:00
484,05,21.45,2022-01-24 04:00:00
485,06,20.933,2022-01-24 05:00:00
486,07,20.867,2022-01-24 06:00:00
487,08,14.833,2022-01-24 07:00:00
488,09,9.25,2022-01-24 08:00:00
489,10,11.3,2022-01-24 09:00:00
490,11,9.067,2022-01-24 10:00:00
491,12,8.267,2022-01-24 11:00:00
492,13,10.567,2022-01-24 12:00:00
493,14,9.05,2022-01-24 13:00:00
494,15,9.167,2022-01-24 14:00:00
495,16,12.133,2022-01-24 15:00:00
496,17,9.7,2022-01-24 16:00:00
497,18,16.267,2022-01-24 17:00:00
498,19,15.667,2022-01-24 18:00:00
499,20,17.867,2022-01-24 19:00:00
500,21,13.5,2022-01-24 20:00:00
501,22,11.267,2022-01-24 21:00:00
502,23,10.933,2022-01-24 22:00:00
503,00,18.7,2022-01-24 23:00:00
504,01,22.633,2022-01-25 00:00:00
505,02,22.833,2022-01-25 01:00:00
506,03,22.3,2022-01-25 02:00:00
507,04,21.6,2022-01-25 03:00:00
508,05,21.0,2022-01-25 04:00:00
509,06,20.6,2022-01-25 05:00:00
510,07,20.367,2022-01-25 06:00:00
511,08,20.333,2022-01-25 07:00:00
512,09,20.6,2022-01-25 08:00:00
513,10,21.1,2022-01-25 09:00:00
514,11,21.733,2022-01-25 10:00:00
515,12,17.4,2022-01-25 11:00:00
516,13,22.233,2022-01-25 12:00:00
517,14,23.45,2022-01-25 13:00:00
518,15,23.867,2022-01-25 14:00:00
519,16,24.0,2022-01-25 15:00:00
520,17,24.1,2022-01-25 16:00:00
521,18,23.9,2022-01-25 17:00:00
522,19,23.4,2022-01-25 18:00:00
523,20,22.767,2022-01-25 19:00:00
524,21,21.967,2022-01-25 20:00:00
525,22,21.267,2022-01-25 21:00:00
526,23,20.767,2022-01-25 22:00:00
527,00,20.4,2022-01-25 23:00:00
528,01,20.133,2022-01-26 00:00:00
529,02,20.0,2022-01-26 01:00:00
530,03,19.667,2022-01-26 02:00:00
531,04,19.35,2022-01-26 03:00:00
532,05,19.1,2022-01-26 04:00:00
533,06,12.3,2022-01-26 05:00:00
534,07,15.633,2022-01-26 06:00:00
535,08,19.567,2022-01-26 07:00:00
536,09,20.0,2022-01-26 08:00:00
537,10,19.567,2022-01-26 09:00:00
538,11,19.6,2022-01-26 10:00:00
539,12,20.067,2022-01-26 11:00:00
540,13,20.533,2022-01-26 12:00:00
541,14,20.95,2022-01-26 13:00:00
542,15,21.3,2022-01-26 14:00:00
543,16,21.6,2022-01-26 15:00:00
544,17,21.4,2022-01-26 16:00:00
545,18,21.0,2022-01-26 17:00:00
546,19,20.433,2022-01-26 18:00:00
547,20,19.833,2022-01-26 19:00:00
548,21,19.4,2022-01-26 20:00:00
549,22,19.0,2022-01-26 21:00:00
550,23,18.75,2022-01-26 22:00:00
551,00,18.6,2022-01-26 23:00:00
552,01,18.3,2022-01-27 00:00:00
553,02,18.05,2022-01-27 01:00:00
554,03,17.8,2022-01-27 02:00:00
555,04,17.475,2022-01-27 03:00:00
556,05,16.933,2022-01-27 04:00:00
557,06,16.4,2022-01-27 05:00:00
558,07,17.667,2022-01-27 06:00:00
559,08,21.3,2022-01-27 07:00:00
560,09,20.567,2022-01-27 08:00:00
561,10,19.933,2022-01-27 09:00:00
562,11,19.95,2022-01-27 10:00:00
563,12,20.35,2022-01-27 11:00:00
564,15,21.167,2022-01-27 12:00:00
565,16,22.1,2022-01-27 13:00:00
566,17,22.367,2022-01-27 14:00:00
567,18,21.833,2022-01-27 15:00:00
568,19,15.1,2022-01-27 16:00:00
569,20,13.533,2022-01-27 17:00:00
570,21,13.45,2022-01-27 18:00:00
571,22,14.433,2022-01-27 19:00:00
572,23,14.333,2022-01-27 20:00:00
573,00,23.033,2022-01-27 21:00:00
574,01,22.75,2022-01-27 22:00:00
575,02,21.2,2022-01-27 23:00:00
576,03,19.633,2022-01-28 00:00:00
577,04,18.4,2022-01-28 01:00:00
578,05,17.5,2022-01-28 02:00:00
579,06,17.767,2022-01-28 03:00:00
580,07,18.8,2022-01-28 04:00:00
581,08,19.433,2022-01-28 05:00:00
582,09,15.3,2022-01-28 06:00:00
583,10,12.1,2022-01-28 07:00:00
584,11,15.033,2022-01-28 08:00:00
585,12,9.267,2022-01-28 09:00:00
586,13,8.267,2022-01-28 10:00:00
587,14,5.7,2022-01-28 11:00:00
588,15,13.267,2022-01-28 12:00:00
589,16,9.467,2022-01-28 13:00:00
590,17,16.8,2022-01-28 14:00:00
591,18,9.7,2022-01-28 15:00:00
592,19,12.3,2022-01-28 16:00:00
593,20,20.533,2022-01-28 17:00:00
594,21,13.767,2022-01-28 18:00:00
595,22,14.533,2022-01-28 19:00:00
596,23,17.8,2022-01-28 20:00:00
597,00,23.75,2022-01-28 21:00:00
598,01,23.167,2022-01-28 22:00:00
599,02,21.3,2022-01-28 23:00:00
600,03,19.8,2022-01-29 00:00:00
601,04,18.8,2022-01-29 01:00:00
602,05,18.05,2022-01-29 02:00:00
603,06,17.5,2022-01-29 03:00:00
604,07,17.033,2022-01-29 04:00:00
605,08,16.767,2022-01-29 05:00:00
606,09,17.033,2022-01-29 06:00:00
607,10,17.7,2022-01-29 07:00:00
608,11,18.5,2022-01-29 08:00:00
609,12,19.433,2022-01-29 09:00:00
610,13,20.5,2022-01-29 10:00:00
611,14,21.567,2022-01-29 11:00:00
612,15,22.5,2022-01-29 12:00:00
613,16,23.2,2022-01-29 13:00:00
614,17,23.4,2022-01-29 14:00:00
615,18,23.167,2022-01-29 15:00:00
616,19,22.5,2022-01-29 16:00:00
617,20,21.8,2022-01-29 17:00:00
618,21,21.167,2022-01-29 18:00:00
619,22,20.433,2022-01-29 19:00:00
620,23,19.833,2022-01-29 20:00:00
621,00,19.333,2022-01-29 21:00:00
622,01,18.9,2022-01-29 22:00:00
623,02,18.5,2022-01-29 23:00:00
624,03,18.2,2022-01-30 00:00:00
625,04,17.9,2022-01-30 01:00:00
626,05,17.6,2022-01-30 02:00:00
627,06,19.133,2022-01-30 03:00:00
628,07,18.467,2022-01-30 04:00:00
629,08,13.0,2022-01-30 05:00:00
630,09,13.967,2022-01-30 06:00:00
631,10,15.6,2022-01-30 07:00:00
632,11,15.567,2022-01-30 08:00:00
633,12,6.3,2022-01-30 09:00:00
634,13,5.867,2022-01-30 10:00:00
635,14,6.6,2022-01-30 11:00:00
636,15,7.3,2022-01-30 12:00:00
637,16,7.375,2022-01-30 13:00:00
638,17,9.6,2022-01-30 14:00:00
639,18,14.0,2022-01-30 15:00:00
640,19,13.867,2022-01-30 16:00:00
641,20,15.167,2022-01-30 17:00:00
642,21,10.067,2022-01-30 18:00:00
643,22,13.967,2022-01-30 19:00:00
644,23,19.467,2022-01-30 20:00:00
645,00,14.833,2022-01-30 21:00:00
646,01,16.633,2022-01-30 22:00:00
647,02,23.467,2022-01-30 23:00:00
648,03,22.033,2022-01-31 00:00:00
649,04,20.8,2022-01-31 01:00:00
650,05,19.8,2022-01-31 02:00:00
651,06,19.2,2022-01-31 03:00:00
652,07,14.033,2022-01-31 04:00:00
653,08,14.367,2022-01-31 05:00:00
654,09,14.833,2022-01-31 06:00:00
655,10,5.35,2022-01-31 07:00:00
656,11,10.467,2022-01-31 08:00:00
657,12,5.633,2022-01-31 09:00:00
658,13,6.433,2022-01-31 10:00:00
659,14,6.95,2022-01-31 11:00:00
660,15,7.2,2022-01-31 12:00:00
661,16,7.233,2022-01-31 13:00:00
662,17,9.633,2022-01-31 14:00:00
663,18,6.8,2022-01-31 15:00:00
